City,Place,Review,Rating,Name,Date
Location 1,19 Degree North,aamby valley beautiful place clear blue skies fresh green grass family visited aamby valley celebrate mother birthday mom splendid time thanks pinky bharadwaj handling booking bombay,5,Anonymous,23/02/2023
Location 1,19 Degree North,executed obt akshay thanx team thoroughly enjoyed especially frame treasure hunt,4,Anonymous,03/10/2019
Location 1,19 Degree North,awesome experience atv tracts obstacles maintained safe challenging blast good experience helpful instructors,5,Anonymous,22/09/2020
Location 1,19 Degree North,visited aamby valley yesterday short excursion trip mumbai drove travel time approx hours city clean away polluted air mumbai lunch woodpecker hotel truly impressed,4,Anonymous,16/06/2017
Location 1,19 Degree North,far mumbai place finest adventure places visited recent times worth going safety standards maintained enjoy,5,Anonymous,13/11/2014
Location 1,19 Degree North,yearn adrenaline rush place try atv forester mins rush loads stuff including kiddie zip line liked beautiful mountain backdrop whizz,5,Anonymous,13/07/2016
Location 1,19 Degree North,great adventure place recommend x jungle safari special thanks mr rajesh offers zorbing rappelling wall climbing paintball following international safety standards equipments maintained,5,Anonymous,14/09/2021
Location 2,Chand Baori (Step well),visit jaipur trip usually itinerary need ask travel agent yo include step really worth visit kind region,4,Anonymous,09/10/2020
Location 2,Chand Baori (Step well),happen traveling jaipur agra vice versa detour little bit km aprox kept step india largest deepest stepwell floors built th century,3,Anonymous,01/05/2022
Location 2,Chand Baori (Step well),chand bawari located villege abhaneri near dousa km jaipur bawari steps depth feet stories near chand bawari old temple harshad mata monuments,3,Anonymous,30/04/2021
Location 2,Chand Baori (Step well),driver stopped way jaipur honestly idea seeing soon unesco world heritage site free enter beware guides waiting entrance,4,Anonymous,02/03/2014
Location 2,Chand Baori (Step well),opportunity like totally felt worth stop built years ago stepwell longer use amazing condition believe stories deep contains,5,Anonymous,04/04/2016
Location 2,Chand Baori (Step well),interesting local legend chand baori built single night task humanly possible locals say built djinn say using set,4,Anonymous,06/04/2015
Location 2,Chand Baori (Step well),astonishing site small village jears old steps climbe sides deep wonder long takes looks scary dare climb,2,Anonymous,19/09/2020
Location 2,Chand Baori (Step well),tour driver took hint impressive lots interesting stonework secured sides staggering complexity area early tourism days great conversations locals selling,5,Anonymous,23/05/2018
Location 2,Chand Baori (Step well),stop long stay long time undoubtedly best step wells india main travel itinerary relatively quiet free enter small tip,5,Anonymous,21/12/2013
Location 2,Chand Baori (Step well),stopped organised tour agra jaipur stepwell oldest rajasthan really interesting sight definitely worth visit,4,Anonymous,31/12/2014
Location 2,Chand Baori (Step well),dates th century quite amazing good condition geometric zig zags ascending descending steps fascinating flanked royal palace relief carvings removed displayed,5,Anonymous,01/05/2015
Location 2,Chand Baori (Step well),yesterday fantastic understand truly architectural wonder time worth seeing understanding people got water bathed,5,Anonymous,05/12/2017
Location 2,Chand Baori (Step well),unusual fascinating structure reason stars credit card machine entry fee conveniently disabled foreign cards ticket expensive credit card incentivize transparent transactions favorite parts,5,Anonymous,14/05/2019
Location 2,Chand Baori (Step well),step largest seen built provide constant water supply local inhabitants photo fresh water turtle assured villagers water drinkable,4,Anonymous,25/01/2018
Location 2,Chand Baori (Step well),really loved know women long ago bathed separately men grand walking stairs stories shared minute visit,5,Anonymous,12/09/2021
Location 2,Chand Baori (Step well),simply amazing engineering years ago yes conceived built th th century thirteen stories deep primary source water drought months filled monsoon months june september withstood,5,Anonymous,19/09/2013
Location 2,Chand Baori (Step well),saw huge step impressive jaipur went specially step abhaneri jaipur trip really worth fascinating visit monsoon time people,5,Anonymous,12/02/2023
Location 2,Chand Baori (Step well),kms jaipur step neatly designed constructed symmetry steps superb,5,Anonymous,25/04/2015
Location 2,Chand Baori (Step well),requires short visit wow astonishing architecture great location panoramic photos guides grab way request tip end introduction monument watch worth,5,Anonymous,07/11/2018
Location 2,Chand Baori (Step well),stunning man landscape great photograph far jaipur way jaipur taj mahal,5,Anonymous,11/12/2022
Location 2,Chand Baori (Step well),detour enroute jaipur agra definitely worth effort time popular site appeal somewhat limited architectural engineering design enthusiasts blessing disguise practically,5,Anonymous,12/03/2021
Location 2,Chand Baori (Step well),wow amazing place quite unique huge step stopped day drive agra jaipur minutes main road lovely countryside farms villages blown away,5,Anonymous,05/04/2018
Location 2,Chand Baori (Step well),visited magnificient baori stepwell nov family place beautiful architecture awesome baori featured shahrukh khan starer paheli beautiful placce visit,5,Anonymous,04/10/2017
Location 2,Chand Baori (Step well),surprise stop india trip glad amazing remarkable fete architecture amazing loved,5,Anonymous,30/08/2019
Location 2,Chand Baori (Step well),largest step wells india seen vicinity step definitely worth visit design engineering wonderful time built easy imagine,5,Anonymous,13/12/2016
Location 2,Chand Baori (Step well),long drive agra jaipur stopped truly stunning structure dates ninth century impressive street entering seeing design steps descend feet ground,5,Anonymous,27/07/2013
Location 2,Chand Baori (Step well),chand baori largest step wells india worth trip agra jaipur seen like world travels designed catch rain water hindu temple,4,Anonymous,03/07/2021
Location 2,Chand Baori (Step well),visiting various stepwells knew large impressed encourage visit really quite breath taking,5,Anonymous,08/03/2017
Location 2,Chand Baori (Step well),definitely highlights tour golden triangle worth visit impressive,5,Anonymous,20/12/2019
Location 2,Chand Baori (Step well),possibly biggest deepest step india absolute intricacy complexity carving design mind boggling puts mind mc escher etching highly recommended,4,Anonymous,30/01/2020
Location 2,Chand Baori (Step well),chand baori beautiful stepwells seen india wonder producers dark knight rises fell love chose location bruce wayne prison downside popularity,5,Anonymous,07/04/2016
Location 2,Chand Baori (Step well),step originally constructed th century upper sections built th century extremely maintained metres deep like maze crossing sides north face appears temple facade,4,Anonymous,10/12/2017
Location 2,Chand Baori (Step well),beaten path trip worth time size grandeur breathtaking shadow light play stepwell draws like mc escher lithograph visual feast allow,5,Anonymous,12/11/2013
Location 2,Chand Baori (Step well),guide advised filled rain water explaining low levels compared access points main wall used hindu complex destroyed muslims,2,Anonymous,12/07/2013
Location 2,Chand Baori (Step well),huge free step near neglected village really hassled people trying sell things levels symmetrical steps going levels th,4,Anonymous,23/12/2022
Location 2,Chand Baori (Step well),time saw yrs ago changed past stopped bus small village went donkey_car forest somewhat commercialised good parking shops,3,Anonymous,22/01/2020
Location 2,Chand Baori (Step well),beautiful place went called golden triangle thank god visited beautiful place worth visit,5,Anonymous,05/04/2015
Location 2,Chand Baori (Step well),impressive wish seen water visit monsoon season worth visit australians quite different,5,Anonymous,24/11/2018
Location 2,Chand Baori (Step well),worth visiting place amazing workmanship went constructing important community step highlight old temple ancient rock carvings,5,Anonymous,02/10/2017
Location 2,Chand Baori (Step well),stepwell baori impressive built th century largest india minutes jaipur agra highway worth stop hour spare,4,Anonymous,17/09/2015
Location 2,Chand Baori (Step well),located agra jaipur national highway km away jaipur stories place chand baori located abhaneri village historical sight indian village great culture experienced beautiful architecture,5,Anonymous,13/02/2016
Location 2,Chand Baori (Step well),diversion beaten track visit abhaneri step worth effort amazing structure preserved looking hearing history imagine people lived area,4,Anonymous,25/01/2015
Location 2,Chand Baori (Step well),knew step wells prior arriving incredible privilege beautiful piece architecture close built years ago stories deep deep intricate stone carvings,5,Anonymous,18/03/2022
Location 2,Chand Baori (Step well),place old popular shot bollywood movies place provides iconic stepwell gets filled water monsoon,4,Anonymous,16/01/2014
Location 2,Chand Baori (Step well),seeing fantastic reviews watching feature hollywood film fall really eager visit jaipur paid rupees pre arranged taxi expensive limited public transport hour,4,Anonymous,30/09/2020
Location 2,Chand Baori (Step well),honest zero homework trip thought sit trust tour company amaze sat car zero expectations lay ahead pulled sight,5,Anonymous,17/02/2016
Location 2,Chand Baori (Step well),amazing architecture missed golden triangle visited guide plenty offers guide round,4,Anonymous,09/02/2023
Location 2,Chand Baori (Step well),best step wells india shows people earlier times used store water daily needs visit place tourists,4,Anonymous,22/09/2018
Location 2,Chand Baori (Step well),amazing clever water collected way amazing women walked steps collecting water impressive structure worth visit,5,Anonymous,16/08/2018
Location 2,Chand Baori (Step well),imagining women carrying pots fetch water largest step world mind boggling symmetric diamond steps going ay steep incline way water water starved city,2,Anonymous,28/12/2013
Location 2,Chand Baori (Step well),hard pressed spend minutes walking slowly taking pictures soaking pretty impressive clean pretty decent considering entry fee,5,Anonymous,09/11/2017
Location 2,Chand Baori (Step well),chand baori step real majestic beauty architecture mesmerising scale simple place impressive significant depth,5,Anonymous,24/03/2017
